,country,name
55,US,9
54,UK,7
19,India,4
51,Thailand,3
36,Nigeria,2
42,Russia,2
1,Argentina,2
47,South Africa,2
26,Kenya,2
49,Syria,2
21,Iran,2
20,Indonesia,2
16,France,2
0,Afghanistan,2
56,Uganda,2
3,Bangladesh,2
2,Australia,2
6,Brazil,2
39,Pakistan,2
11,Egypt,2
38,Norway,1
40,Peru,1
41,Republic of Ireland,1
53,UAE,1
63,Zambia,1
43,Sierra Leone,1
44,Singapore,1
45,Somalia,1
52,Turkey,1
62,Yemen,1
57,Ukraine,1
48,South Korea,1
61,Worldwide,1
50,Tanzania,1
60,"Wales, UK",1
59,Vietnam,1
58,Venezuela,1
46,Somaliland,1
32,Mozambique,1
37,Northern Ireland,1
35,Netherlands,1
4,Belarus,1
5,Benin,1
7,China,1
8,Colombia,1
9,DR Congo,1
10,Ecuador,1
12,El Salvador,1
13,Ethiopia,1
14,"Exiled Uighur from Ghulja (in Chinese, Yining)",1
15,Finland,1
17,Germany,1
18,Hong Kong,1
22,Iraq/UK,1
23,Italy,1
24,Jamaica,1
25,Japan,1
27,Kyrgyzstan,1
28,Lebanon,1
29,Malaysia,1
30,Mexico,1
31,Morocco,1
33,Myanmar,1
34,Nepal,1
64,Zimbabwe,1
